     T(MeV)         phi_e         thetah           tnuh           nbh           a/a_i             N              P             H2            He4
 .9808061D+01  0.6544778D-09  0.2516551D-18  0.1000000D+01  0.2901040D-05  0.1019573D+01  0.4677120D+00  0.5322880D+00  0.4653148D-11  0.1000000D-29
 .9782146D+01  0.6589020D-09  0.2503272D-18  0.1000000D+01  0.2878108D-05  0.1022275D+01  0.4641030D+00  0.5358969D+00  0.4553237D-11  0.1000000D-29
 .9708879D+01  0.6591594D-09  0.2465920D-18  0.1000000D+01  0.2813887D-05  0.1029991D+01  0.4638552D+00  0.5361448D+00  0.4508784D-11  0.1000000D-29
 .9645490D+01  0.6593738D-09  0.2433831D-18  0.1000000D+01  0.2759100D-05  0.1036761D+01  0.4636476D+00  0.5363524D+00  0.4469673D-11  0.1000000D-29
 .9572520D+01  0.6595945D-09  0.2397151D-18  0.1000000D+01  0.2696920D-05  0.1044665D+01  0.4634302D+00  0.5365698D+00  0.4430149D-11  0.1000000D-29
 .9505578D+01  0.6598364D-09  0.2363747D-18  0.1000000D+01  0.2640704D-05  0.1052023D+01  0.4631989D+00  0.5368011D+00  0.4388321D-11  0.1000000D-29
 .9420356D+01  0.6601073D-09  0.2321560D-18  0.1000000D+01  0.2570275D-05  0.1061541D+01  0.4629347D+00  0.5370652D+00  0.4340471D-11  0.1000000D-29
 .9372946D+01  0.6602786D-09  0.2298256D-18  0.1000000D+01  0.2531643D-05  0.1066911D+01  0.4627713D+00  0.5372287D+00  0.4311660D-11  0.1000000D-29
 .9305395D+01  0.6605292D-09  0.2265254D-18  0.1000000D+01  0.2477270D-05  0.1074657D+01  0.4625332D+00  0.5374667D+00  0.4269018D-11  0.1000000D-29
 .9239293D+01  0.6607625D-09  0.2233191D-18  0.1000000D+01  0.2424822D-05  0.1082346D+01  0.4623102D+00  0.5376898D+00  0.4229993D-11  0.1000000D-29
 .9171367D+01  0.6609962D-09  0.2200481D-18  0.1000000D+01  0.2371704D-05  0.1090363D+01  0.4620861D+00  0.5379139D+00  0.4191876D-11  0.1000000D-29
 .9105225D+01  0.6612376D-09  0.2168862D-18  0.1000000D+01  0.2320732D-05  0.1098284D+01  0.4618569D+00  0.5381431D+00  0.4152219D-11  0.1000000D-29
