  DN_nu    xie    xix    tau    rholmbd    kappa   eta10   OmegaBh^2    phie        thetah          tnuh          nbh          a/a_i            N/H           Y_H          H2/H           Y_p
  0.000   0.00   0.00  879.40  0.250E-02   0.000  6.13832  0.02242  0.393854D+02  0.695905D-22  0.714958D+00  0.509606D-15  0.181780D+04  0.737767D-02  0.715288D+00  0.679556D-02  0.278147D+00
  0.000   0.00   0.00  879.40  0.000E+00   0.000  6.13832  0.02242  0.394152D+02  0.868550D-25  0.714958D+00  0.509606D-15  0.181780D+04  0.918295D-09  0.754455D+00  0.251157D-04  0.246854D+00
  0.000   0.00   0.00  879.40  0.200E-03   0.000  6.13832  0.02242  0.394019D+02  0.196833D-22  0.714958D+00  0.509606D-15  0.181780D+04  0.145013D-04  0.731834D+00  0.470512D-03  0.269362D+00
  0.000   0.00   0.00  879.40  0.500E-03   0.000  6.13832  0.02242  0.393958D+02  0.311219D-22  0.714958D+00  0.509606D-15  0.181780D+04  0.204321D-03  0.722437D+00  0.134872D-02  0.278294D+00
  0.000   0.00   0.00  879.40  0.100E-04   0.000  6.13832  0.02242  0.394136D+02  0.440214D-23  0.714958D+00  0.509606D-15  0.181780D+04  0.434357D-07  0.751737D+00  0.570140D-04  0.249570D+00
  0.000   0.00   0.00  879.40  0.100E-05   0.000  6.13832  0.02242  0.394150D+02  0.139452D-23  0.714958D+00  0.509606D-15  0.181780D+04  0.407699D-08  0.754159D+00  0.312899D-04  0.247150D+00
  0.000   0.00   0.00  879.40  0.100E-06   0.000  6.13832  0.02242  0.394152D+02  0.448617D-24  0.714958D+00  0.509606D-15  0.181780D+04  0.139549D-08  0.754425D+00  0.263027D-04  0.246884D+00
  0.000   0.00   0.00  879.40  0.100E-07   0.000  6.13832  0.02242  0.394152D+02  0.164058D-24  0.714958D+00  0.509606D-15  0.181780D+04  0.999694D-09  0.754452D+00  0.253081D-04  0.246857D+00
  0.000   0.00   0.00  879.40  0.200E-07   0.000  6.13832  0.02242  0.394152D+02  0.215143D-24  0.714958D+00  0.509606D-15  0.181780D+04  0.105955D-08  0.754449D+00  0.254578D-04  0.246860D+00
  0.000   0.00   0.00  879.40  0.500E-07   0.000  6.13832  0.02242  0.394152D+02  0.323111D-24  0.714958D+00  0.509606D-15  0.181780D+04  0.120188D-08  0.754440D+00  0.258198D-04  0.246869D+00
  0.000   0.00   0.00  879.40  0.160E-06   0.000  6.13832  0.02242  0.394152D+02  0.563458D-24  0.714958D+00  0.509604D-15  0.181780D+04  0.160094D-08  0.754408D+00  0.267923D-04  0.246901D+00
  0.000   0.00   0.00  877.75  0.000E+00   0.000  6.13832  0.02242  0.394153D+02  0.868550D-25  0.714958D+00  0.509606D-15  0.181780D+04  0.852771D-09  0.754679D+00  0.242761D-04  0.246630D+00
  0.000   0.00   0.00  877.75  0.000E+00   0.000  6.13832  0.02242  0.394154D+02  0.868550D-25  0.714958D+00  0.509606D-15  0.181780D+04  0.915802D-09  0.754793D+00  0.250959D-04  0.246516D+00
  0.000   0.00   0.00  878.40  0.000E+00   0.000  6.13832  0.02242  0.394153D+02  0.868550D-25  0.714958D+00  0.509606D-15  0.181780D+04  0.916784D-09  0.754659D+00  0.251037D-04  0.246649D+00
  0.000   0.00   0.00  878.40  0.000E+00   0.000  6.13832  0.02242  0.394154D+02  0.868550D-25  0.714958D+00  0.509651D-15  0.181780D+04  0.915211D-09  0.754634D+00  0.250818D-04  0.246670D+00
  0.000   0.00   0.00  878.40  0.000E+00   0.000  6.13832  0.02242  0.394154D+02  0.868550D-25  0.714958D+00  0.509640D-15  0.181780D+04  0.915849D-09  0.754643D+00  0.250906D-04  0.246664D+00
  0.000   0.00   0.00  878.40  0.000E+00   0.000  6.13832  0.02242  0.394153D+02  0.868550D-25  0.714958D+00  0.509606D-15  0.181780D+04  0.919565D-09  0.754669D+00  0.251384D-04  0.246640D+00
  0.000   0.00   0.00  878.40  0.000E+00   0.000  6.13732  0.02242  0.394152D+02  0.868550D-25  0.714958D+00  0.509523D-15  0.181780D+04  0.919958D-09  0.754671D+00  0.251451D-04  0.246638D+00
  0.000   0.00   0.00  878.40  0.000E+00   0.000  6.13632  0.02241  0.394150D+02  0.868550D-25  0.714958D+00  0.509440D-15  0.181780D+04  0.920350D-09  0.754672D+00  0.251518D-04  0.246636D+00
  0.000   0.00   0.00  878.40  0.000E+00   0.000  6.12688  0.02238  0.394135D+02  0.868550D-25  0.714958D+00  0.508656D-15  0.181780D+04  0.924077D-09  0.754687D+00  0.252153D-04  0.246622D+00
  0.000   0.00   0.00  878.40  0.000E+00   0.000  6.12688  0.02238  0.394135D+02  0.868550D-25  0.714958D+00  0.508656D-15  0.181780D+04  0.924077D-09  0.754687D+00  0.252153D-04  0.246622D+00
